Order_ID,Product_ID,Product_Category,Quantity,Warehouse_ID,Warehouse_Location,Order_Date,Shipment_Date,Delivery_Date,Stock_Level,Reorder_Level,Supplier_ID,Supplier_Name,Cost_Per_Unit,Total_Cost,Delivery_Status,Delay_Days,Customer_Region,Shipping_Mode,Priority,Month,Year
O100000,P8986,Furniture,130,W4,Riyadh,11/19/2024,11/23/2024,11/24/2024,523,85,S256,PrimeDistributors,278.77,36240.1,In Transit,0,Tabuk,Road,High,11,2024
O100001,P5924,Furniture,171,W5,Mecca,11/12/2021,11/14/2021,11/20/2021,893,272,S284,QuickShip,55.08,9418.68,In Transit,2,Makkah,Road,High,11,2021
O100002,P1710,Pharmaceuticals,319,W3,Dammam,5/24/2025,5/25/2025,6/1/2025,289,208,S915,QuickShip,398.01,126965.19,In Transit,3,Dubai,Air,Medium,5,2025
O100003,P8321,Automotive Parts,118,W1,Riyadh,1/1/2025,1/7/2025,1/8/2025,312,55,S541,WarePro,64.15,7569.7,Delivered,0,Los Angeles,Rail,Medium,1,2025
O100004,P3129,Furniture,470,W5,Riyadh,3/26/2024,4/2/2024,4/12/2024,937,197,S181,QuickShip,439.84,206724.8,Delivered,5,Jazan,Road,Medium,3,2024
O100005,P8780,Furniture,301,W1,Jeddah,2/18/2024,2/25/2024,3/5/2024,819,79,S884,SupplyCo,44.51,13397.51,Delivered,5,Abu Dhabi,Road,High,2,2024
O100006,P7687,Food & Beverages,377,W3,Medina,9/10/2024,9/16/2024,9/24/2024,70,53,S441,PrimeDistributors,436.09,164405.93,Delivered,4,Los Angeles,Air,Low,9,2024
O100007,P5653,Furniture,138,W1,Mecca,11/2/2022,11/2/2022,11/7/2022,389,189,S232,GlobalSupplies,168.41,23240.58,Delivered,3,Tabuk,Road,High,11,2022
O100008,P5199,Furniture,90,W5,Riyadh,4/25/2025,4/30/2025,5/10/2025,757,55,S426,PrimeDistributors,126.69,11402.1,Delivered,6,New York,Rail,Medium,4,2025
O100009,P5471,Pharmaceuticals,217,W1,Dammam,7/14/2022,7/17/2022,7/22/2022,942,254,S710,GlobalSupplies,73.42,15932.14,Cancelled,2,Makkah,Air,Medium,7,2022
